Code Postal,Prix (€),Surface (m2),Prix du m2,Nbr de Pieces
92130,159400,17.24,8695,1
92100,180000,22.68,7496,1
92400,265000,36.0,7361,3
92150,265000,33.0,8030,1
92360,212000,56.0,3786,3
92360,73000,11.0,6636,1
92160,285000,71.4,3824,4
92360,200000,55.0,3636,3
92240,138000,23.0,6000,1
92110,283000,31.0,9129,2
92400,273000,32.0,8531,1
92700,233000,49.0,4755,2
92200,102000,9.0,10200,1
92700,110000,13.0,8462,1
92600,289000,37.34,7740,2
92240,250000,38.0,6579,2
92600,250000,32.0,7813,1
92600,250000,32.0,7813,2
92500,299990,3 pièces,7813,1 chambre
92500,170000,25.0,6800,1
92390,270000,68.0,3971,3
92240,300000,45.44,6272,3
92240,138000,21.0,6571,1
92000,220000,43.0,5116,2
92000,220000,43.0,5116,2
92120,279000,34.49,7683,2
92160,189000,51.0,3706,2
92600,258500,41.0,6305,1
92160,211000,38.0,5342,2
92110,259000,34.0,7176,2
92140,224000,54.8,4088,3
92130,249000,28.0,8607,2
92800,229000,26.1,8774,1
92600,175000,24.0,7292,1
92000,249900,43.0,5812,2
92300,292000,34.0,8588,3
92700,185000,39.0,4744,2
92500,140000,45.0,3111,2
92220,à partir de 246 000 €,34 m² min,3111,1
92400,285000,38.0,7500,2
92120,245000,36.06,6794,2
92360,212700,56.0,3798,3
92600,274000,39.0,7026,2
92700,249000,47.0,5298,2
92390,130000,44.0,2773,2
92360,205000,57.0,3596,3
92140,258000,32.0,8063,1
92270,239000,40.0,5745,2
92200,189800,13.0,13800,1
92360,185000,56.0,3304,3
92400,250000,27.0,8889,1
92350,265000,39.41,6724,2
92400,267000,36.11,7394,1
92700,189000,64.0,2953,3
92700,210000,26.0,8077,2
92160,299000,63.0,4746,3
92310,110000,18.0,6111,1
92320,252 000 à 284 000 €,28 à 31 m²,6111,1
92100,265000,27.0,9444,1
92600,275000,44.0,6250,2
92130,300000,37.6,7620,1
92700,244000,43.12,5659,2
92160,249000,47.77,4961,3
92300,243000,39.0,5905,2
92210,267000,24.55,10900,46 m² de terrain
92150,287000,37.21,7390,2
92320,246500,41.0,6012,2
92500,263000,38.0,6921,2
92200,262000,21.4,11800,1
92240,300000,31.0,9677,2
92290,296000,36.52,8105,2
92400,177117,25.0,7085,1
92100,207000,25.0,7812,1
92100,248850,27.0,9217,2
92500,169000,28.3,5972,1
92500,189000,28.38,6660,1
92320,299000,55.33,5404,2
92320,195000,29.0,6724,1
92600,290000,44.0,6591,3
92600,230050,37.25,5772,2
92100,140000,16.0,8138,1
92120,295000,35.57,8012,2
92700,240000,40.0,6000,1
92500,294000,64.53,4339,3
92100,273000,26.0,10500,2
92300,97000,9.15,9727,1
92150,250000,34.0,7353,2
92150,265000,39.03,6790,2
92600,279000,38.0,7105,2
92170,234000,25.0,8800,1
92170,259000,51.2,4785,2
92500,235000,52.68,4252,3
92320,241000,35.0,6571,1
92320,284000,51.51,5513,3
92140,289000,52.51,5504,2
92320,231000,39.39,5864,2
92320,249000,51.87,4800,3
92320,279000,51.69,5398,3
92320,299000,50.0,5980,3
92340,133000,22.54,5901,1
92100,259000,25.0,1000,2
92400,220000,27.0,8148,1
92410,270000,47.0,5489,2
92130,254500,38.0,6487,2
92600,232000,44.0,5000,2
92700,229000,54.0,4094,3
92110,139000,15.0,9267,1
92600,239000,32.44,7367,2
92500,279000,63.0,4429,3
92190,295000,60.0,4917,3
92160,273000,63.0,4333,3
92700,289000,42.01,6879,2
92360,87000,13.0,6692,1
92140,246000,32.23,7633,2
92160,285000,58.0,4914,3
92160,200000,43.0,4651,2
92600,210000,26.0,7692,1
92600,210000,26.0,7692,1
92600,245000,32.0,7344,1
92600,75000,8.62,8701,1
92230,190000,37.0,5135,2
92600,229000,62.0,3694,3
92360,194000,55.0,3364,3
92500,265000,28.0,9464,6 m² de terrain
92160,184000,44.0,4182,2
92360,190000,56.0,3393,3
92130,299000,35.79,8354,2
92210,139000,15.0,9267,1
92350,266000,36.0,7111,2
92240,225000,26.0,8654,1
92600,275000,40.0,6875,2
92130,199000,23.27,8552,2
92130,284000,27.02,1000,1
92600,200000,37.0,5405,2
92000,209000,28.7,7282,1
92400,185000,21.12,8759,1
92220,248000,51.27,4584,3
92140,229000,46.48,4927,2
92000,199000,29.0,6862,1
