,Code Postal,Prix (€),Surface (m2),Prix du m2,Nbr de Pieces
733,92400,273000,32.0,8531,1
734,92700,233000,49.0,4755,2
735,92200,102000,9.0,10200,1
736,92700,110000,13.0,8462,1
737,92600,289000,37.34,7740,2
738,92240,250000,38.0,6579,2
739,92600,250000,32.0,7813,1
740,92600,250000,32.0,7813,2
741,92500,299990,3 pièces,7813,1 chambre
742,92500,170000,25.0,6800,1
743,92390,270000,68.0,3971,3
744,92240,300000,45.44,6272,3
745,92240,138000,21.0,6571,1
746,92000,220000,43.0,5116,2
747,92000,220000,43.0,5116,2
748,92120,279000,34.49,7683,2
749,92160,189000,51.0,3706,2
750,92600,258500,41.0,6305,1
751,92160,211000,38.0,5342,2
752,92110,259000,34.0,7176,2
753,92140,224000,54.8,4088,3
754,92130,249000,28.0,8607,2
755,92800,229000,26.1,8774,1
756,92600,175000,24.0,7292,1
757,92000,249900,43.0,5812,2
758,92300,292000,34.0,8588,3
759,92700,185000,39.0,4744,2
760,92500,140000,45.0,3111,2
761,92220,à partir de 246 000 €,34 m² min,3111,1
762,92400,285000,38.0,7500,2
763,92120,245000,36.06,6794,2
764,92360,212700,56.0,3798,3
765,92600,274000,39.0,7026,2
766,92700,249000,47.0,5298,2
767,92390,130000,44.0,2773,2
768,92360,205000,57.0,3596,3
769,92140,258000,32.0,8063,1
770,92270,239000,40.0,5745,2
771,92200,189800,13.0,13800,1
