,Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
1688,Citroën C3,10999.0,31/05/2016,0.0,94985.0,Diesel,Boîte manuelle 5 rapports,5.0,99.0
1689,Dacia Sandero,15499.0,29/01/2021,0.0,9681.0,Essence,Boîte manuelle 6 rapports,5.0,92.0
1690,Volkswagen Polo,14499.0,29/05/2018,0.0,19160.0,Essence,Boîte manuelle 5 rapports,4.0,65.0
1691,Renault Twingo 3,9499.0,26/12/2017,0.0,72582.0,Essence,Boîte manuelle 5 rapports,4.0,70.0
1692,Nissan Qashqai,17999.0,24/08/2018,0.0,117170.0,Diesel,Boîte automatique 1 rapport,7.0,130.0
1693,Fiat 500,10299.0,31/03/2015,0.0,70118.0,Essence,Boîte manuelle 5 rapports,4.0,69.0
1694,Renault Mégane 4,14799.0,25/04/2017,0.0,75998.0,Diesel,Boîte manuelle 6 rapports,5.0,110.0
1695,Renault Zoé,10499.0,28/11/2016,0.0,51362.0,188 km,Électrique,,1.0
1696,Renault Clio 5,18499.0,21/11/2022,1.0,0.0,Essence,Boîte manuelle 6 rapports,5.0,90.0
1697,Citroën C4 Cactus,15999.0,10/05/2019,0.0,51043.0,Diesel,Boîte manuelle 6 rapports,5.0,102.0
1698,Toyota Yaris,13999.0,18/07/2012,0.0,52940.0,Hybride essence,Boîte automatique 1 rapport,3.0,75.0
