Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
Jeep Cherokee,20499.0,18/11/2014,0,73043,Diesel,Boîte automatique 9 rapports,10.0,170.0
Peugeot Partner Fourgon,21990.0,15/09/2022,0,10,,,5.0,100.0
Tesla MODEL 3,36499.0,23/09/2020,0,33003,409 km,Électrique,,4.0
Suzuki SX4 S-Cross,23099.0,06/08/2021,0,22500,Micro-hybride essence,Boîte manuelle,7.0,129.0
Renault CLIO,21399.0,01/11/2021,1,0,Essence,Boîte automatique,,5.0
Mercedes CLASSE CLA,19499.0,24/09/2013,0,99529,,,9.0,170.0
Mercedes Classe C,24999.0,22/07/2016,0,36845,Diesel,Boîte automatique 7 rapports,7.0,136.0
Opel INSIGNIA GRAND SPORT,19999.0,24/05/2018,0,61501,Diesel,Boîte automatique 6 rapports,7.0,136.0
Volvo V60,21599.0,28/07/2017,0,93495,Diesel,Boîte automatique 8 rapports,10.0,190.0
Fiat DOBLO CARGO,23199.0,08/12/2022,1,0,,,5.0,105.0
Mini Mini Cabriolet,22499.0,28/04/2017,0,42273,Essence,Boîte automatique 7 rapports,7.0,136.0
Toyota COROLLA SEDAN,25199.0,04/10/2022,1,0,,,6.0,125.0
Alfa Romeo Stelvio,22999.0,31/08/2018,0,105974,Diesel,Boîte automatique 8 rapports,8.0,150.0
Skoda Octavia,22099.0,28/05/2019,0,50116,Essence,Boîte automatique,7.0,150.0
Mercedes GLA Nouveau,25999.0,30/04/2019,0,54519,Essence,Boîte manuelle 6 rapports,7.0,122.0
Volkswagen Golf SW,20999.0,04/09/2017,0,71610,Essence,Boîte automatique 7 rapports,8.0,150.0
BMW Série 2 coupé,21999.0,31/03/2015,0,86469,Diesel,Boîte automatique 8 rapports,10.0,190.0
Kia Ceed SW,22499.0,23/03/2022,0,13098,,,1.0,100.0
Hyundai i30 Fastback,21299.0,07/04/2021,0,16231,Essence,Boîte manuelle,,6.0
Mercedes Classe A Nouvelle,24999.0,09/03/2020,0,18305,Essence,Boîte manuelle 6 rapports,6.0,109.0
Mercedes CLA,24099.0,29/08/2017,0,58305,Diesel,Boîte automatique,5.0,109.0
Renault TRAFIC COMBI,25999.0,18/05/2016,0,85325,Diesel,Boîte manuelle 6 rapports,7.0,125.0
Kia Xceed,23691.0,19/07/2021,0,22959,Essence,Boîte manuelle,8.0,160.0
Toyota Prius,22599.0,03/01/2017,0,54691,Hybride essence,Boîte automatique 1 rapport,4.0,98.0
Ford Fiesta Van,21099.0,22/08/2022,1,0,,,5.0,95.0
Audi A1 CITYCARVER,22999.0,10/10/2020,0,27238,,,6.0,95.0
Renault Kangoo,22999.0,30/05/2022,0,10,Diesel,Boîte manuelle,5.0,95.0
Renault Koleos,23999.0,30/06/2017,0,61185,Diesel,Boîte automatique 6 rapports,10.0,175.0
Renault EXPRESS,21399.0,27/05/2022,1,0,Diesel,Boîte manuelle 6 rapports,5.0,75.0
Land Rover Range Rover Evoque,27699.0,08/12/2017,0,51132,Diesel,Boîte manuelle,8.0,150.0
Nissan Leaf Nouvelle,22999.0,12/09/2019,0,20695,270 km,Électrique,,4.0
Mercedes CLASSE C BREAK,25999.0,30/11/2015,0,135114,,,10.0,211.0
Mercedes Classe M,24599.0,13/12/2013,0,108101,Diesel,Boîte automatique 7 rapports,16.0,258.0
Mini Mini countryman,22499.0,23/02/2017,0,104662,,,10.0,190.0
Kia Proceed nouvelle,22999.0,21/02/2020,0,17457,Essence,Boîte manuelle 6 rapports,6.0,120.0
DS DS3,23899.0,13/12/2019,0,53000,Diesel,Boîte manuelle,5.0,100.0
Mazda CX-30,23499.0,30/09/2019,0,51853,,,6.0,116.0
BMW X2,26499.0,20/05/2019,0,67555,,,7.0,140.0
BMW I3,24799.0,30/03/2018,0,35914,,,3.0,170.0
Toyota RAV 4 IV,25999.0,26/11/2018,0,82980,Hybride essence,Boîte automatique 1 rapport,8.0,155.0
Renault Mégane 4 Estate Nouvelle,22699.0,29/07/2021,0,12308,Essence,Boîte manuelle 6 rapports,7.0,140.0
Skoda Kodiaq,24999.0,26/06/2018,0,118559,Diesel,Boîte automatique 7 rapports,8.0,150.0
Mini Mini Cooper,23699.0,24/04/2019,0,16500,,,7.0,136.0
